name,affiliated_committee_name,committee_id
LABORATORY CORPORATION OF AMERICA HOLDINGS POLITICAL PARTICIPATION COMMITTEE,LABORATORY CORPORATION OF AMERICA HOLDINGS,C00314997
DEAN FOODS COMPANY POLITICAL ACTION COMMITTEE,DEAN FOODS,C00340083
HEXCEL CORPORATION POLITICAL ACTION COMMITTEE,HEXCEL CORPORATION,C00345173
RESOLUTE FOREST PRODUCTS US INC POLITICAL ACTION COMMITTEE,RESOLUTE FOREST PRODUCTS US INC.,C00350884
PHILIPS NORTH AMERICA LLC POLITICAL ACTION COMMITTEE,PHILIPS NORTH AMERICA LLC,C00239780
CALPINE CORPORATION PAC,CALPINE CORPORATION,C00362640
LARSON DESIGN GROUP PAC,LARSON DESIGN GROUP INC.,C00366229
NRG ENERGY INC POLITICAL ACTION COMMITTEE,"NRG ENERGY, INC.",C00366559
REPUBLICAN NATIONAL COALITION FOR LIFE POLITICAL ACTION COMMITTEE,REPUBLICAN NATIONAL COALITION FOR LIFE,C00255406
FRIENDS OF COMMUNITY ONCOLOGY PAC,,C00383976
"HUNTINGTON INGALLS INDUSTRIES, INC. EMPLOYEES POLITICAL ACTION COMMITTEE (HIIPAC)","HUNTINGTON INGALLS INDUSTRIES, INC.",C00325092
ENVISION HEALTHCARE CORPORATION POLITICAL ACTION COMMITTEE,ENVISION HEALTHCARE CORPORATION,C00398271
"EQUIAN, LLC POLITICAL ACTION COMMITTEE",EQUIAH,C00340828
DAY & ZIMMERMANN INC FEDERAL PAC (AKA 'DAYPAC - FEDERAL'),"DAY & ZIMMERMANN, INC.",C00341271
"INTERDIGITAL, INC., PAC","INTERDIGITAL, INC.",C00400333
NATIONAL BISON ASSOCIATION PAC,NATIONAL BISON ASSOCIATION,C00377291
GENTEX CORPORATION POLITICAL ACTION COMMITTEE; THE,GENTEX CORPORATION POLITICAL ACTION COMMITTEE; THE,C00386128
GCI COMMUNICATION CORP. PAC (GCI PAC),GCI COMMUNICATION CORP.,C00387894
"BENTLEY SYSTEMS, INCORPORATED FEDERAL PAC","BENTLEY SYSTEMS, INCORPORATED",C00408138
SSA MARINE INC. GOOD GOVERNMENT FUND,SSA MARINE INC.,C00397893
REFERENTIA SYSTEMS INCORPORATED POLITICAL ACTION COMMITTEE,REFERENTIA SYSTEMS INCORPORATED,C00408872
"DIRECT SUPPLY, INC. PARTNERS PAC (DSI PARTNERS PAC)","DIRECT SUPPLY, INC.",C00409516
INTELSAT US LLC POLITICAL ACTION COMMITTEE,INTELSAT GENESIS INC.,C00412403
FEDERAL HOME LOAN BANK OF TOPEKA PAC,FEDERAL HOME LOAN BANK OF TOPEKA,C00410720
TIVITY HEALTH FEDERAL PAC,TIVITY HEALTH,C00411918
LOEWS CORPORATION PUBLIC AFFAIRS COMMITTEE,LOEWS CORPORATION,C00416495
CURTISS WRIGHT CORPORATION EMPLOYEES POLITICAL ACTION COMMITTEE,CURTISS WRIGHT CORPORATION,C00420596
DIVERSICARE HEALTHCARE INC. POLITICAL ACTION COMMITTEE,DIVERSICARE HEALTHCARE INC.,C00421735
WESTERN DUBUQUE BIODIESEL LLC PAC,WESTERN DUBUQUE BIODIESEL LLC,C00456277
"MOODY NOLAN - WASHINGTON DC LLC, POLITICAL ACTION COMMITTEE",MODDY NOLAN-WASHINGTON DC LLC,C00457085
"STERICYCLE, INC. POLITICAL ACTION COMMITTEE","STERICYCLE, INC.",C00458018
NORTH SIDE GOOD GOVERNMENT COMMITTEE,,C00461939
HILLTOP HOLDINGS INC PAC,HILLTOP HOLDINGS INC.,C00482125
DYNAMIS INC PAC,,C00495341
HOLSTON MEDICAL GROUP P C PAC HMGPAC,HOLSTON MEDICAL GROUP P C,C00453357
"ENCORE CAPITAL GROUP, INC. POLITICAL ACTION COMMITTEE","ENCORE CAPITAL GROUP, INC",C00507392
"THE AARON'S COMPANY, INC. POLITICAL ACTION COMMITTEE","THE AARON'S COMPANY, INC.",C00459933
RENEWABLE POWER PROVIDERS INC CMTE TO STOP USING STICKS/ROCKS TO MAKE FIRE EXCEPT FOR BBQ,,C00520601
"DELAWARE NORTH COMPANIES, INC. POLITICAL ACTION COMMITTEE","DELAWARE NORTH COMPANIES, INC.",C00532887
THE CAPITAL GROUP COMPANIES INC POLITICAL ACTION COMMITTEE,"THE CAPITAL GROUP COMPANIES, INC.",C00540518
HUITT-ZOLLARS INC FEDERAL PAC,"HUITT-ZOLLARS, INC.",C00543710
ASHTON WOODS CORP. HOMES PAC,ASHTON WOODS CORP.,C00555367
NOVOCURE INC. PAC (A.K.A. NOVOCURE PAC),NOVOCURE INC.,C00562546
MORAN TOWING CORPORATION POLITICAL ACTION COMMITTEE,,C00477109
"SALTCHUK RESOURCES, INC. PAC","SALTCHUK RESOURCES, INC. PAC",C00411694
"WAKE EMERGENCY PHYSICIANS, PA PAC","WAKE EMERGENCY PHYSICIANS, PA",C00412841
CHESAPEAKE ENERGY CORPORATION FED PAC,CHESAPEAKE ENERGY CORPORATION,C00389288
HSP DIRECT LLC PAC HSP PAC,"HSP DIRECT, LLC",C00432419
MESSER CONSTRUCTION CO PAC,MESSER CONSTRUCTION CO,C00435990
STARR INSURANCE HOLDINGS INC PAC,"STARR INSURANCE HOLDINGS, INC.",C00509331
"NEW ERA CAP COMPANY, INC PAC","NEW ERA CAP CO, INC.",C00451351
GUARANTY BANK & TRUST  POLITICAL ACTION COMMITTEE,GUARANTY BANK & TRUST  POLITICAL ACTION COMMITTEE,C00452037
"TSVC, INC. POLITICAL ACTION COMMITTEE (TERRACON PAC)","TSVC, INC.",C00457853
CARMEUSE LIME INC.PAC,CARMEUSE LIME & STONE,C00460097
TMS INTERNATIONAL CORPORATION PAC,,C00470062
NOBLE ENERGY INC. POLITICAL ACTION COMMITTEE,"NOBLE ENERGY, INC.",C00479873
"HILMAR CHEESE COMPANY, INC. PAC","HILMAR CHEESE COMPANY, INC.",C00528299
TRANE TECHNOLOGIES COMPANY LLC POLITICAL ACTION COMMITTEE,TRANE TECHNOLOGIES COMPANY LLC,C00492314
OHIO CORN AND WHEAT GROWERS ASSOCIATION PAC,,C00494237
"UNIFI, INC POLITICAL ACTION COMMITTEE",,C00502351
"CADENCE BANK, NA POLITICAL ACTION COMMITTEE","CADENCE BANK, N.A.",C00506733
STEWARD HEALTH CARE SYSTEM LLC POLITICAL ACTION COMMITTEE,STEWARD HEALTH CARE SYSTEM LLC,C00540435
AES CORPORATION POLITICAL ACTION COMMITTEE; THE,THE AES CORPORATION,C00507962
LIBERTY MEDIA CORPORATION PAC AKA LIBERTY MEDIA PAC,LIBERTY MEDIA CORPORATION,C00508101
ION MEDIA NETWORKS INC POLITICAL ACTION COMMITTEE,"ION MEDIA NETWORKS, INC.",C00513606
RBC USA HOLDCO CORPORATION FEDERAL POLITICAL ACTION COMMITTEE,RBC USA HOLDCO CORPORATION FEDERAL POLITICAL ACTION COMMITTEE,C00517052
"FLORIDA EAST COAST INDUSTRIES, LLC GOOD GOVERNMENT COMMITTEE","FLORIDA EAST COAST INDUSTRIES, LLC",C00544908
"HIS COMPANY, INC. PAC (HISCO PAC)","HIS COMPANY, INC.",C00528216
"WINCO HOLDINGS, INC. PAC ('WINPAC')","WINCO HOLDINGS, INC.",C00546903
CALGON CARBON CORPORATION PAC INC DBA CCC PAC OR CALGON CARBON PAC,CALGON CARBON CORPORATION,C00543876
SUPERIOR AIR-GROUND AMBULANCE SERVICE INC EMPLOYEES PAC (SUPERIOR AMBULANCE EMPLOYEES P,SUPERIOR AIR-GROUND AMBULANCE SERVICE INC EMPLOYEES PAC (SUPERIOR AMBULANCE EMPLOYEES P,C00545558
"INTELLECTUAL VENTURES DCP, INC. PAC (INTELLECTUAL VENTURES PAC)","INTELLECTUAL VENTURES DCP, INC.",C00557165
MAXIM HEALTHCARE SERVICES INC POLITICAL ACTION COMMITTEE (MAXIM HEALTHCARE PAC),"MAXIM HEALTHCARE SERVICES, INC.",C00558932
"REGENERON PHARMACEUTICALS, INC. PAC",REGENERON PHARMACEUTICALS INC,C00562264
MOTORSPORTS ACCEPTANCE CORPORATION POLITICAL ACTION COMMITTEE (SPEED PAC),MOTORSPORTS ACCEPTANCE CORPORATION,C00571042
HOLTEC INTERNATIONAL ENERGY PAC,HOLTEC INTERNATIONAL,C00743468
"SAZERAC COMPANY, INC. PAC (SAZERACPAC)","SAZERAC COMPANY, INC.",C00639138
"ISAGENIX INTERNATIONAL, LLC PAC","ISAGENIX INTERNATIONAL, LLC",C00656496
SIOUXLAND ETHANOL LLC PAC,NONE,C00658831
"PETSMART, INC. POLITICAL ACTION COMMITTEE FOR PAWS",PETSMART INC,C00669473
AMERICAN PEANUT SHELLERS ASSOCIATION POLITICAL ACTION COMMITTEE,AMERICAN PEANUT SHELLERS ASSOCIATION,C00214148
KOS SERVICES LLC PAC,KOS SERVICES LLC,C00624502
ENERGY HARBOR CORP. POLITICAL ACTION COMMITTEE (AKA ENERGY HARBOR PAC OR EH PAC),ENERGY HARBOR CORP.,C00741702
EMPIRE DISTRICT ELECTRIC COMPANY AND LIBERTY UTILITIES CO. POLITICAL ACTION COMMITTEE D/B/A LIBERTY UTILITIES PAC,EMPIRE DISTRICT ELECTRIC COMPANY AND LIBERTY UTILITIES CO. POLITICAL ACTION COMMITTEE D/B/A LIBERTY UTILITIES PAC,C00208249
ADVANSIX INC. POLITICAL ACTION COMMITTEE,ADVANSIX INC.,C00652842
PINNACLE INTERNATIONAL PROPERTY SERVICES PAC,PINNACLE INTERNATIONAL PROPERTY SERVICES,C00762583
BLOOM ENERGY PAC,BLOOM ENERGY,C00764290
MCAFEE ENTERPRISE PAC,NONE,C00679985
KENTUCKY MEDICAL ASSOCIATION PAC (KENTUCKY PHYSICIANS PAC FEDERAL-KPPAC FEDERAL),KENTUCKY MEDICAL ASSOCIATION,C00016444
BIPARTISAN POLITICAL ACTION COMMITTEE/THE BANK OF NEW YORK MELLON CORPORATION BIPAC/BNYMC,THE BANK OF NEW YORK MELLON CORPORATION,C00017558
EATON CORPORATION PUBLIC POLICY ASSOCIATION,EATON CORPORATION PUBLIC POLICY ASSOCIATION,C00034827
ASHLAND LLC POLITICAL ACTION COMMITTEE FOR EMPLOYEES (PACE),ASHLAND LLC,C00075994
EQUITRANS MIDSTREAM CORPORATIOIN PAC,EQUITRANS MIDSTREAM CORPORATION,C00688606
"BELL AMBULANCE, INC. EMPLOYEES PAC","BELL AMBULANCE, INC.",C00693390
THE DAYTON POWER AND LIGHT COMPANY RESPONSIBLE CITIZENSHIP FUND,THE AES CORPORATION POLITICAL ACTION COMMITTEE,C00102947
TRONOX INCOPORATED POLITICAL ACTION COMMITTEE,TRONOX INCORPORATED,C00708297
UNITED COMMUNITY BANKERS PAC (BANCFIRST CORP),NONE,C00160077
"AMERICAN PUBLIC POWER ASSOCIATION, PUBLIC OWNERSHIP OF ELECTRIC RESOURCES PAC",AMERICAN PUBLIC POWER ASSOCIATION,C00161570
BLUEPAC - BLUE CROSS BLUE SHIELD ASSOCIATION PAC,BLUE CROSS BLUE SHIELD ASSOCIATION,C00194746
"HEALTHY GOVERNMENT COMMITTEE-THE POLITICAL ACTION COMMITTEE OF BLUE CROSS & BLUE SHIELD OF ARIZONA, INC.",BLUEPAC - BLUE CROSS BLUE SHIELD ASSOCIATION PAC,C00215202
"BORREGO SOLAR SYSTEMS, INC. POLITICAL ACTION COMMITTEE","BORREGO SOLAR SYSTEMS, INC.",C00738864
ROGERS GROUP INC. POLITICAL ACTION COMMITTEE,ROGERS GROUP INC.,C00277152
OHIO NATIONAL FINANCIAL SERVICES POLITICAL ACTION COMMITTEE,OHIO NATIONAL FINANCIAL SERVICES POLITICAL ACTION COMMITTEE,C00296657
REPO ALLIANCE PAC FUND,"AMERICAN RECOVERY ASSOCIATION, INC",C00747873
OGE ENERGY CORP EMPLOYEES POLITICAL ACTION COMMITTEE,ENABLE MIDSTREAM SERVICES LLC POLITICAL ACTION COMMITTEE,C00337808
"AQUA AMERICA, INC. H2O POLITICAL ACTION COMMITTEE","AQUA AMERICA, INC.",C00340455
"PECKHAM INDUSTRIES, INC. FEDERAL PAC","PECKHAM INDUSTRIES, INC. FEDERAL PAC",C00343681
DARLING INGREDIENTS INC POLITICAL ACTION COMMITTEE (DARPAC),DARLING INGREDIENTS INC,C00777458
TRACTOR SUPPLY COMPANY POLITICAL ACTION COMMITTEE,TRACTOR SUPPLY COMPANY,C00763664
TTM TECHNOLOGIES INC. POLITICAL ACTION COMMITTEE,TTM TECHNOLOGIES INC.,C00752766
WHIRLPOOL CORPORATION POLITICAL ACTION COMMITTEE,WHIRLPOOL CORPORATION,C00039040
"HCA HEALTHCARE, INC. GOOD GOVERNMENT FUND","HCA HEALTHCARE,  INC.",C00067231
DTE ENERGY COMPANY POLITICAL ACTION COMMITTEE,DTE ENERGY COMPANY,C00081547
CUMBERLAND PHARMACEUTICALS INC. HEALTH AND WELLNESS PAC,CUMBERLAND PHARMACEUTICALS INC.,C00681718
LOUISIANA-PACIFIC CORP FEDERAL PAC,LOUISIANA-PACIFIC CORPORATION,C00109165
BRUNSWICK CORPORATION GOOD GOVERNMENT FUND,BRUNSWICK CORPORATION,C00110262
BAXTER HEALTHCARE CORPORATION POLITICAL ACTION COMMITTEE,BAXTER HEALTHCARE CORPORATION,C00117838
"LIVANOVA USA, INC. POLITICAL ACTION COMMITTEE (LIVANOVA PAC)","LIVANOVA USA, INC.",C00634295
PENN MUTUAL LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,PENN MUTUAL LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,C00142372
ALLETE PAC,NONE,C00142489
SAN DIEGO ASIAN AMERICANS FOR EQUALITY FOUNDATION PAC,NONE,C00611566
VAIL RESORTS EMPLOYEE POLITICAL ACTION COMMITTEE,VAIL RESORTS,C00580894
ALLY FINANCIAL INC. ADVOCACY POLITICAL ACTION COMMITTEE,ALLY FINANCIAL INC.,C00579540
AETNA INC. POLITICAL ACTION COMMITTEE,AETNA INC.,C00181826
AMERICAN EXPRESS COMPANY POLITICAL ACTION COMMITTEE (AXPPAC),AMERICAN EXPRESS COMPANY,C00040535
ELI LILLY AND COMPANY POLITICAL ACTION COMMITTEE,ELI LILLY AND COMPANY,C00082792
RYDER SYSTEM INC. EMPLOYEES POLITICAL ACTION COMMITTEE,RYDER SYSTEM INC.,C00088435
YRC WORLDWIDE INC. PAC,YRC WORLDWIDE INC.,C00090209
"PETER PAN SEAFOODS, INC. POLITICAL ACTION COMMITTEE  (1220 ASSOCIATES)","PETER PAN SEAFOODS, INC.",C00100305
DEERE & COMPANY PAC (AKA JOHN DEERE PAC),DEERE & COMPANY,C00204099
XEROX CORPORATION POLITICAL ACTION COMMITTEE (XPAC),XEROX CORPORATION,C00207258
NBT PAC FEDERAL FUND,,C00207795
"EQUITABLE HOLDINGS, INC. POLITICAL ACTION COMMITTEE (EQUITABLE PAC)","EQUITABLE HOLDINGS, INC.",C00161901
"THE HARTFORD FINANCIAL SERVICES GROUP, INC. PAC (AKA THE HARTFORD ADVOCATES FUND)","THE HARTFORD FINANCIAL SERVICES GROUP, INC. FEDERAL PAC (AKA HARTFORD ADVOCATES FEDERAL FUND)",C00168864
NORTHWEST NATURAL GAS POLITICAL ACTION COMMITTEE,NW NATURAL,C00174367
FLSMIDTH INC POLITICAL ACTION COMMITTEE,,C00214635
"ROETZEL & ANDRESS CO, LPA FSL PAC",NONE,C00228379
KIRBY CORPORATION POLITICAL ACTION COMMITTEE,KIRBY CORPORATION,C00250027
CONSOL ENERGY INC. PAC,"CONSOL ENERGY, INC.",C00279331
BAYER U.S. LLC POLITICAL ACTION COMMITTEE,BAYER U.S. LLC,C00281162
ENCOVA CIVIC FUND (OF THE MOTORISTS MUTUAL INSURANCE COMPANY CIVIC FUND),MOTORISTS MUTUAL INSURANCE COMPANY CIVIC FUND,C00336834
FIFTH THIRD BANCORP POLITICAL ACTION COMMITTEE,FIFTH THIRD BANCORP,C00290502
FOSTER POULTRY FARMS PAC,FOSTER POULTRY FARMS,C00303628
HINMAN STRAUB PAC (STATE STREET ASSOCIATES PAC),"HINMAN STRAUB, PC",C00360529
COMMONWEALTH ASSOCIATION OF SCHOOL ADMINISTRATORS - TEAMSTERS LOCAL 502 PAC,,C00362608
MAXAR TECHNOLOGIES INC. PAC (MAXARPAC),MAXAR TECHNOLOGIES HOLDINGS INC.,C00370585
